3.8234 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
60.8664 	EXP 	grating: autoDraw = False
60.9724 	EXP 	New trial (rep=19, index=0): None
60.9758 	DATA 	Keypress: up
60.9828 	EXP 	fixation: autoDraw = False
60.9828 	EXP 	grating: autoDraw = False
60.9828 	EXP 	grating: ori = -2.0
60.9828 	EXP 	fixation: autoDraw = True
61.9830 	EXP 	fixation: autoDraw = False
61.9830 	EXP 	grating: autoDraw = True
62.2829 	EXP 	grating: autoDraw = False
62.3561 	EXP 	New trial (rep=20, index=0): None
62.3596 	DATA 	Keypress: up
62.3663 	EXP 	fixation: autoDraw = False
62.3663 	EXP 	grating: autoDraw = False
62.3663 	EXP 	grating: ori = 0.0
62.3663 	EXP 	fixation: autoDraw = True
63.3667 	EXP 	fixation: autoDraw = False
63.3667 	EXP 	grating: autoDraw = True
63.6661 	EXP 	grating: autoDraw = False
63.6727 	EXP 	New trial (rep=21, index=0): None
63.6768 	DATA 	Keypress: down
63.6826 	EXP 	fixation: autoDraw = False
63.6826 	EXP 	grating: autoDraw = False
63.6826 	EXP 	grating: ori = 0.0
63.6826 	EXP 	fixation: autoDraw = True
64.6830 	EXP 	fixation: autoDraw = False
64.6830 	EXP 	grating: autoDraw = True
64.9391 	EXP 	New trial (rep=22, index=0): None
64.9426 	DATA 	Keypress: up
64.9499 	EXP 	fixation: autoDraw = False
64.9499 	EXP 	grating: autoDraw = False
64.9499 	EXP 	grating: ori = -3.0
64.9499 	EXP 	fixation: autoDraw = True
65.9498 	EXP 	fixation: autoDraw = False
65.9498 	EXP 	grating: autoDraw = True
66.2497 	EXP 	grating: autoDraw = False
66.5401 	EXP 	New trial (rep=23, index=0): None
66.5442 	DATA 	Keypress: down
66.5500 	EXP 	fixation: autoDraw = False
66.5500 	EXP 	grating: autoDraw = False
66.5500 	EXP 	grating: ori = -4.0
66.5500 	EXP 	fixation: autoDraw = True
67.5499 	EXP 	fixation: autoDraw = False
67.5499 	EXP 	grating: autoDraw = True
67.8503 	EXP 	grating: autoDraw = False
68.0222 	EXP 	New trial (rep=24, index=0): None
68.0262 	DATA 	Keypress: down
68.0329 	EXP 	fixation: autoDraw = False
68.0329 	EXP 	grating: autoDraw = False
68.0329 	EXP 	grating: ori = 0.0
68.0329 	EXP 	fixation: autoDraw = True
69.0332 	EXP 	fixation: autoDraw = False
69.0332 	EXP 	grating: autoDraw = True
69.3329 	EXP 	grating: autoDraw = False
69.3887 	EXP 	New trial (rep=25, index=0): None
69.3925 	DATA 	Keypress: down
